Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
12,-0.10500018298625946,-2.4102351665496826,77.82190704345703,0.07653388559411091,-1.9148785869395573,89.29542266830659,4.2334576,7.674793,6.3398747,8.877641,-9.656396,-7.912294,5.368573,-10.426505,-21.63362,10.449669,-12.50575,10.521626,-3.940383,0.8888636,9.188579,-4.2065825,18.587051,-39.98165,49.477882,2.064822,-0.26393476,0.98177594,-6.037904,-10.533911,26.182537,58.43734,-12.300715,-3.7012775,-0.6390302
13,-0.10868924111127853,-2.42340350151062,77.81803894042969,0.07846482204076528,-1.947805987664417,89.29668310294294,4.2131977,7.676363,6.338024,8.981709,-9.709112,-7.9064507,5.367996,-10.441337,-21.624693,10.513333,-12.532923,10.529809,-3.922646,0.8942585,9.219702,-4.1708302,18.436739,-39.8143,49.57448,2.2576697,-0.09529411,1.0670581,-5.986493,-10.540058,26.202608,58.439224,-12.33765,-3.6832938,-0.63861936
14,-0.11086811870336533,-2.435551404953003,77.81682586669922,0.0808388106934409,-1.9798197735776784,89.30690574493643,4.1876817,7.6754613,6.333336,9.087659,-9.758852,-7.895914,5.372068,-10.45691,-21.623545,10.56937,-12.553493,10.5435295,-3.9135227,0.8983954,9.247125,-4.124996,18.277538,-39.644985,49.67719,2.4392629,0.08390166,1.1333265,-5.9354563,-10.539718,26.211184,58.450947,-12.390326,-3.6822875,-0.6239721
15,-0.11315354704856873,-2.447319269180298,77.8140640258789,0.0833414255401696,-2.009098516647659,89.32144074805454,4.1545253,7.6758676,6.3237433,9.1997795,-9.809659,-7.886826,5.3777914,-10.470329,-21.628433,10.618412,-12.569798,10.55707,-3.9097776,0.9040175,9.267711,-4.072079,18.11132,-39.481434,49.781693,2.641672,0.28426364,1.1766987,-5.879895,-10.532811,26.201025,58.466736,-12.441694,-3.6871805,-0.6062923
16,-0.11274472624063492,-2.4581539630889893,77.81315612792969,0.0816067835014501,-2.0338734264889076,89.3356961351466,4.1276813,7.679697,6.3095417,9.2877,-9.845928,-7.8853855,5.3884416,-10.475718,-21.638552,10.647465,-12.577007,10.564536,-3.9072278,0.9147153,9.279077,-4.01449,17.940863,-39.33211,49.88243,2.8969843,0.5163568,1.1929176,-5.813115,-10.518384,26.163965,58.478268,-12.47464,-3.6870077,-0.5964779
17,-0.11235123872756958,-2.46700382232666,77.81292724609375,0.07312675419060262,-2.054142605563315,89.34956001168318,4.109171,7.689319,6.2877207,9.347045,-9.864454,-7.8970804,5.407689,-10.469356,-21.656713,10.649834,-12.57191,10.563279,-3.904904,0.9321218,9.281555,-3.949204,17.76686,-39.188248,49.97526,3.2384367,0.7966662,1.1795456,-5.733318,-10.495188,26.110176,58.486954,-12.481513,-3.6782022,-0.6042391
18,-0.11390791833400726,-2.4756109714508057,77.8121337890625,0.06082284403833961,-2.0706501958299945,89.365131301626,4.093463,7.702965,6.2593336,9.389437,-9.8711,-7.9173474,5.433696,-10.454538,-21.6825,10.631813,-12.556701,10.556841,-3.9055686,0.95412207,9.276461,-3.8746057,17.589586,-39.048424,50.061253,3.6408603,1.1148238,1.1379027,-5.6441016,-10.462276,26.040253,58.49586,-12.472526,-3.6668777,-0.62155133
19,-0.11545746773481369,-2.4889700412750244,77.81165313720703,0.04765226567193621,-2.082970649769878,89.38108155827413,4.078434,7.7163906,6.230162,9.420443,-9.872004,-7.937176,5.458489,-10.438172,-21.709661,10.606543,-12.539149,10.548249,-3.9094229,0.9760078,9.262152,-3.7952905,17.412655,-38.933163,50.14363,4.0486984,1.4410042,1.0702206,-5.5499706,-10.421652,25.93078,58.502815,-12.457569,-3.6564507,-0.63296
20,-0.11151809245347977,-2.4944114685058594,77.81111907958984,0.0387586699505661,-2.0903744448060686,89.3962050720935,4.060677,7.725285,6.205849,9.447759,-9.874216,-7.947566,5.474818,-10.426905,-21.73203,10.586339,-12.526495,10.540666,-3.9145076,0.99455166,9.238505,-3.715412,17.241467,-38.865093,50.22119,4.405502,1.746197,0.9795509,-5.449557,-10.375052,25.756084,58.497875,-12.44575,-3.6503406,-0.6219795
21,-0.11157110333442688,-2.50449538230896,77.81207275390625,0.037300897650532364,-2.090528096628252,89.41132703081831,4.038404,7.727051,6.187324,9.469365,-9.877922,-7.9440203,5.4778047,-10.424797,-21.748783,10.576241,-12.522574,10.534572,-3.9197323,1.005995,9.203425,-3.6349056,17.080088,-38.852806,50.290714,4.6805506,2.0322318,0.87025183,-5.342051,-10.32574,25.52841,58.477043,-12.436473,-3.651281,-0.5859072
22,-0.10984645038843155,-2.512481451034546,77.81228637695312,0.039195323973667644,-2.084345838089469,89.42681565205372,4.0131173,7.724392,6.1716704,9.4835205,-9.880301,-7.9320316,5.473172,-10.426926,-21.763306,10.567046,-12.521743,10.528389,-3.9252062,1.0132496,9.159436,-3.548772,16.929848,-38.884144,50.346382,4.908586,2.3117533,0.7397854,-5.224556,-10.274442,25.25339,58.439606,-12.426205,-3.6568894,-0.53204924
23,-0.11015074700117111,-2.5172770023345947,77.81295013427734,0.0413178573225616,-2.076772933296719,89.4403059232973,3.9885528,7.7215166,6.1590605,9.493911,-9.881976,-7.9176097,5.466547,-10.428751,-21.774395,10.556898,-12.521504,10.522192,-3.930722,1.0215286,9.112227,-3.455421,16.792301,-38.951733,50.38585,5.130232,2.5714204,0.58119386,-5.0963182,-10.218629,24.895737,58.386345,-12.41874,-3.6628852,-0.45941052
24,-0.10679937899112701,-2.526808738708496,77.8127212524414,0.041572890686150867,-2.072558672714463,89.44947636024689,3.9710283,7.722003,6.1499,9.499811,-9.881323,-7.9065943,5.464704,-10.424874,-21.781187,10.539923,-12.516811,10.516086,-3.934791,1.0352013,9.067019,-3.35419,16.669058,-39.049786,50.408375,5.3855968,2.7976522,0.38766906,-4.957949,-10.154158,24.41832,58.320625,-12.41884,-3.6652048,-0.3674641
25,-0.10222963988780975,-2.5398221015930176,77.81477355957031,0.037740577316600715,-2.072268482279869,89.45247314235513,3.9572155,7.729358,6.1442475,9.50915,-9.882275,-7.901163,5.467989,-10.411179,-21.781055,10.514587,-12.506464,10.509969,-3.9355865,1.0568419,9.026426,-3.2462077,16.561293,-39.17877,50.414326,5.6874533,2.9847078,0.14035147,-4.803634,-10.075672,23.785633,58.23308,-12.457316,-3.6598487,-0.22817758
26,-0.09828100353479385,-2.5496292114257812,77.81562042236328,0.03186879545861405,-2.0738049943023475,89.45089774472437,3.9494448,7.7400494,6.1425786,9.5115595,-9.879871,-7.8978934,5.474796,-10.391364,-21.775545,10.480276,-12.490907,10.503776,-3.9330318,1.0819328,8.986716,-3.1314373,16.469534,-39.343266,50.404137,6.0129175,3.1399777,-0.15117557,-4.6371546,-9.981211,23.023966,58.129604,-12.522832,-3.6504529,-0.051593382
27,-0.09614607691764832,-2.5564966201782227,77.81684112548828,0.02620891284152512,-2.0770930591256764,89.44783035924308,3.947277,7.7505164,6.1432633,9.50886,-9.87526,-7.8947763,5.4842033,-10.371361,-21.769337,10.445654,-12.475672,10.497793,-3.930366,1.1062607,8.943543,-3.0068378,16.394552,-39.5408,50.375824,6.3494735,3.2696488,-0.45140067,-4.473719,-9.87347,22.190775,58.035915,-12.557814,-3.6437457,0.10566361
28,-0.09133539348840714,-2.5647661685943604,77.81648254394531,0.02335762820617323,-2.082130485174391,89.44630098645591,3.945537,7.7570915,6.144351,9.512096,-9.874453,-7.889642,5.4926934,-10.359539,-21.766857,10.423203,-12.467772,10.4923725,-3.9317033,1.1258978,8.893492,-2.8682852,16.337225,-39.767735,50.32556,6.6847343,3.380255,-0.72513884,-4.3261304,-9.757508,21.34487,57.97365,-12.503334,-3.6459885,0.18733005
29,-0.08453301340341568,-2.567654848098755,77.81607818603516,0.025557531000849256,-2.0896644984993826,89.44840342888335,3.9541943,7.756475,6.146587,9.502633,-9.867118,-7.8827243,5.506163,-10.357737,-21.772385,10.407464,-12.46542,10.488405,-3.9439936,1.1429329,8.8351,-2.7146566,16.299368,-40.040764,50.24948,7.0263314,3.473041,-0.96099114,-4.1910152,-9.633483,20.467215,57.946476,-12.329554,-3.6583474,0.17325522
30,-0.08101491630077362,-2.5774013996124268,77.8156509399414,0.031343112248037236,-2.099691562401654,89.45204274514315,3.969725,7.7515507,6.1503673,9.487561,-9.857499,-7.8748164,5.5227723,-10.362397,-21.782272,10.397367,-12.467462,10.485241,-3.9634178,1.1587608,8.771182,-2.546866,16.281557,-40.355297,50.147324,7.377077,3.5449758,-1.1785553,-4.062215,-9.500188,19.539087,57.939953,-12.071433,-3.6778014,0.09578547
31,-0.07705727964639664,-2.5838820934295654,77.814208984375,0.03709517256208765,-2.110115236498571,89.45408745951866,3.985673,7.746669,6.155268,9.475056,-9.849592,-7.8650403,5.537369,-10.368483,-21.790688,10.392954,-12.4721155,10.481521,-3.9805064,1.1694001,8.704787,-2.3633046,16.282413,-40.67258,50.02185,7.717459,3.5964482,-1.388895,-3.9478061,-9.364592,18.62098,57.948368,-11.768094,-3.7040195,-0.02264814
32,-0.07782737165689468,-2.5767951011657715,77.81360626220703,0.04017179152651378,-2.119444454358404,89.45133126634562,3.9945564,7.7461557,6.1609287,9.475817,-9.849166,-7.852434,5.543616,-10.3713,-21.791922,10.396824,-12.478659,10.475807,-3.9891534,1.1725559,8.639531,-2.1593673,16.299538,-40.948975,49.872932,8.029608,3.62756,-1.6036711,-3.854015,-9.238556,17.778051,57.961433,-11.456685,-3.7362096,-0.15940739
33,-0.06759239733219147,-2.579960823059082,77.811767578125,0.039967544590743115,-2.126235911072477,89.4432602318091,3.995181,7.750647,6.1663585,9.490973,-9.857969,-7.832503,5.5408707,-10.369376,-21.78487,10.40637,-12.485801,10.468997,-3.9912353,1.1709943,8.573606,-1.9326519,16.332287,-41.177883,49.686237,8.340445,3.6531336,-1.8539034,-3.777091,-9.130037,17.005995,57.968884,-11.099068,-3.7802482,-0.314489
34,-0.06372824311256409,-2.587975263595581,77.81133270263672,0.03818642849568791,-2.1316017086884353,89.43147060585068,3.9906147,7.757964,6.1720943,9.515986,-9.872949,-7.8071733,5.5309725,-10.365863,-21.772253,10.423445,-12.494974,10.461521,-3.9909139,1.1681852,8.507628,-1.6843647,16.380644,-41.377834,49.463306,8.649679,3.6676688,-2.1244755,-3.7095852,-9.039969,16.280499,57.96952,-10.688509,-3.8352232,-0.4960831
35,-0.06267517805099487,-2.593538761138916,77.81182861328125,0.03491448095628579,-2.137640006296087,89.41589732847675,3.9817803,7.769079,6.17969,9.55181,-9.892996,-7.785147,5.5169196,-10.359542,-21.754824,10.446218,-12.50553,10.450761,-3.986106,1.162636,8.448469,-1.4151083,16.442337,-41.54133,49.228714,8.8997555,3.641971,-2.3571515,-3.6547256,-8.971988,15.637676,57.96952,-10.310421,-3.8885481,-0.69458807
36,-0.06575147062540054,-2.5980007648468018,77.80970001220703,0.02751162977175729,-2.1464285024562724,89.39652661287612,3.9681895,7.785147,6.190701,9.601902,-9.917825,-7.7751455,5.500317,-10.3505,-21.732786,10.474581,-12.516717,10.434272,-3.9796636,1.1547053,8.40324,-1.1247278,16.51124,-41.655178,49.008877,9.033803,3.5471716,-2.4938104,-3.6164026,-8.931002,15.1206665,57.974487,-10.0466795,-3.9268515,-0.9006265
37,-0.06083903834223747,-2.6135168075561523,77.80819702148438,0.01682203981937029,-2.159441311708273,89.37291849662827,3.948518,7.808597,6.2050586,9.670692,-9.947786,-7.783839,5.4813027,-10.336379,-21.705334,10.510327,-12.530187,10.406126,-3.966434,1.1460413,8.374472,-0.8126325,16.588205,-41.72364,48.803226,9.085073,3.3768284,-2.5502338,-3.5962036,-8.916129,14.742881,57.987244,-9.931971,-3.9474823,-1.1374708
38,-0.06129949912428856,-2.6228439807891846,77.80866241455078,0.0013884716127675477,-2.175407727709052,89.34523341029798,3.9236763,7.8380055,6.2222652,9.754809,-9.982641,-7.8051076,5.4586444,-10.318549,-21.672594,10.554032,-12.545974,10.369426,-3.9608533,1.1389256,8.352356,-0.48527434,16.648693,-41.734444,48.629513,9.075392,3.1447847,-2.5457516,-3.602459,-8.92607,14.500651,58.01897,-9.913,-3.955449,-1.405663
39,-0.061888888478279114,-2.6301071643829346,77.80775451660156,-0.015788176309383953,-2.191764326955074,89.31440719163098,3.890697,7.8700705,6.241747,9.857242,-10.025435,-7.8285847,5.4342628,-10.2995615,-21.636568,10.59832,-12.5593405,10.334998,-3.9335566,1.1277318,8.348885,-0.13559832,16.746933,-41.72154,48.43302,8.901173,2.8595612,-2.4331777,-3.60347,-8.969348,14.3247385,58.026127,-9.960419,-3.952591,-1.6438969
40,-0.05894053727388382,-2.6474521160125732,77.80731201171875,-0.03005213495361971,-2.2066458229675248,89.28102220337055,3.8614037,7.8993053,6.265456,9.95113,-10.0685,-7.8439417,5.409714,-10.282667,-21.598896,10.637918,-12.566499,10.313518,-3.9171798,1.1113604,8.351849,0.22961697,16.843317,-41.646694,48.26404,8.490018,2.5217865,-2.1615052,-3.616038,-9.039037,14.232632,58.032192,-10.0262375,-3.9367077,-1.8106747
41,-0.061605941504240036,-2.6585958003997803,77.80508422851562,-0.042335487319251464,-2.2195263322631056,89.24490141091613,3.830672,7.9261694,6.2933984,10.046424,-10.117146,-7.8463707,5.386426,-10.267773,-21.560247,10.668705,-12.563302,10.310707,-3.901645,1.0873257,8.361927,0.6050231,16.935291,-41.530796,48.13669,7.7149963,2.107848,-1.6594687,-3.6356091,-9.137313,14.220061,58.02912,-10.138398,-3.8966508,-1.883543
42,-0.057912297546863556,-2.670727014541626,77.80375671386719,-0.052755984499290774,-2.2313326144667154,89.20583355717753,3.7963057,7.9526715,6.3248954,10.149753,-10.173185,-7.842118,5.362399,-10.253709,-21.51947,10.695962,-12.5536,10.319692,-3.884144,1.0583819,8.37907,0.9905522,17.021803,-41.374733,48.04686,6.659333,1.6142298,-0.97849125,-3.6641219,-9.265803,14.29301,58.02087,-10.306291,-3.836366,-1.8912681
43,-0.0624953992664814,-2.6848561763763428,77.80014038085938,-0.06437820329007428,-2.2426197641370536,89.16460741552163,3.7623932,7.977743,6.358993,10.25117,-10.227975,-7.8371696,5.338887,-10.239963,-21.476698,10.718543,-12.540558,10.33336,-3.8627868,1.0311522,8.4022665,1.3791904,17.101196,-41.16273,47.97975,5.5492105,1.0785582,-0.2508799,-3.6940064,-9.418897,14.421961,58.00937,-10.468228,-3.7796023,-1.8577234
44,-0.06546804308891296,-2.702085018157959,77.79882049560547,-0.07456531498359859,-2.2533684954695152,89.1219442544658,3.7308173,8.000757,6.39422,10.346722,-10.276766,-7.8376307,5.314554,-10.227399,-21.431875,10.73977,-12.52938,10.344287,-3.8357546,1.0094751,8.429268,1.7618977,17.171457,-40.879623,47.924397,4.6067924,0.5484437,0.3969851,-3.7218652,-9.589652,14.576916,58.001793,-10.564371,-3.7498841,-1.8084043
45,-0.07163459062576294,-2.7164089679718018,77.79724884033203,-0.08478675672365198,-2.2666600985122343,89.07614962772844,3.707869,8.020789,6.432435,10.430411,-10.3151245,-7.8498764,5.2923365,-10.215956,-21.382954,10.759263,-12.521108,10.353322,-3.8001938,0.9910193,8.463344,2.1487396,17.229574,-40.4923,47.87715,3.8941276,0.010153883,0.9428186,-3.7515483,-9.7750635,14.765096,58.00424,-10.55893,-3.7645607,-1.7353537
46,-0.07730626314878464,-2.722938299179077,77.79472351074219,-0.09377288725880428,-2.281456194253298,89.02741077214777,3.690053,8.038534,6.4735303,10.507464,-10.347552,-7.8690743,5.2712426,-10.205582,-21.330593,10.777014,-12.51377,10.36353,-3.7591832,0.97314835,8.503063,2.5391188,17.27421,-40.017548,47.848667,3.2916703,-0.5488775,1.4524987,-3.7876163,-9.975267,14.9993725,58.017097,-10.490615,-3.8073227,-1.6313707
47,-0.08688980340957642,-2.7380146980285645,77.79341888427734,-0.10268115706754871,-2.2916669056141887,88.97958192212448,3.6682353,8.054827,6.514194,10.582155,-10.3778,-7.884383,5.24826,-10.195311,-21.279339,10.7882805,-12.503993,10.370674,-3.717124,0.9598104,8.540482,2.908195,17.30602,-39.518234,47.848373,2.7448716,-1.0733104,1.9366022,-3.8218389,-10.185403,15.251625,58.03359,-10.414925,-3.8510973,-1.5224174
48,-0.09631048887968063,-2.759343385696411,77.79281616210938,-0.11208188676911143,-2.2917511352504163,88.93643240677343,3.6331315,8.070289,6.5514617,10.659577,-10.4097395,-7.8839445,5.217516,-10.185825,-21.233068,10.795168,-12.491987,10.370859,-3.675456,0.9532808,8.567395,3.2269585,17.327473,-39.061134,47.8884,2.1971593,-1.508863,2.4060428,-3.8466892,-10.398987,15.490705,58.04899,-10.388319,-3.8693647,-1.4350516
49,-0.09993989765644073,-2.7757973670959473,77.79237365722656,-0.12008561689079768,-2.2767155169592015,88.89818880327917,3.5776641,8.086607,6.585437,10.74431,-10.446366,-7.861403,5.1739893,-10.176059,-21.192612,10.796856,-12.476769,10.358848,-3.630056,0.95283055,8.577963,3.4902658,17.339582,-38.655415,47.96815,1.6122547,-1.8387681,2.890835,-3.860438,-10.612986,15.718271,58.063286,-10.43714,-3.8495317,-1.3780746
50,-0.10891246050596237,-2.7848823070526123,77.79449462890625,-0.1288861973910966,-2.2507304648534845,88.86323357923473,3.5099733,8.102485,6.6179013,10.828882,-10.4827585,-7.822874,5.1230807,-10.165711,-21.156406,10.7906475,-12.457413,10.3381605,-3.5789912,0.95624,8.577509,3.7098389,17.34252,-38.271923,48.084347,1.0244769,-2.0926368,3.3787146,-3.867334,-10.827043,15.944264,58.080223,-10.528999,-3.8078537,-1.3373326
