Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
12,-0.2141372710466385,-2.6474149227142334,40.95896911621094,2.9495270533563693,67.87052659402512,-88.23985185820466,-4.847378,5.419524,-6.6279902,9.280851,-24.261827,-0.9848834,-2.226713,-8.047644,-4.771288,10.043042,-12.973594,11.499062,-0.57920915,-1.2511461,27.168436,-84.84101,23.45839,-60.968956,80.77302,21.440706,-4.7836695,71.12596,-81.58437,-26.244753,51.273613,75.796364,-16.071293,-4.919765,-70.01398
13,-0.22788044810295105,-2.651752233505249,40.94990921020508,2.9670619146154125,67.8756051412378,-88.22072676560639,-4.844292,5.429855,-6.620652,9.275181,-24.261934,-0.996395,-2.2268922,-8.038756,-4.777527,10.050273,-12.9887,11.477158,-0.5732427,-1.2558554,27.152966,-84.83214,23.452412,-60.96953,80.77844,21.442663,-4.780179,71.12601,-81.56362,-26.24355,51.272415,75.78665,-16.108648,-4.8781223,-70.012535
14,-0.24110113084316254,-2.653400421142578,40.9404411315918,2.9796838177146787,67.88108500790199,-88.2063590452595,-4.8392935,5.442666,-6.610173,9.265269,-24.263966,-1.0120686,-2.2267323,-8.028416,-4.7815256,10.055296,-13.006299,11.455318,-0.5637068,-1.2618421,27.128893,-84.82574,23.429361,-60.992664,80.8017,21.423521,-4.774366,71.12824,-81.52472,-26.238934,51.26037,75.77641,-16.175312,-4.8262553,-70.01498
15,-0.251588374376297,-2.6559791564941406,40.931983947753906,2.9925628642869144,67.88610447263784,-88.19233369528739,-4.8331423,5.455143,-6.599661,9.254136,-24.267355,-1.0283267,-2.2245166,-8.018549,-4.784341,10.056803,-13.0242605,11.437265,-0.55162317,-1.2688448,27.108374,-84.82308,23.40999,-61.018967,80.81904,21.402851,-4.770228,71.130005,-81.49598,-26.234785,51.25643,75.77137,-16.230314,-4.7771277,-70.01694
16,-0.26399049162864685,-2.6568245887756348,40.92241668701172,3.0100015155826285,67.89045279559281,-88.17512118355667,-4.827258,5.4648304,-6.592133,9.2450695,-24.272379,-1.0414381,-2.2207117,-8.011043,-4.7866697,10.057289,-13.042692,11.42661,-0.5446258,-1.273557,27.090567,-84.81521,23.404106,-61.02626,80.82401,21.398384,-4.769878,71.13388,-81.472435,-26.233187,51.252098,75.761406,-16.268665,-4.740981,-70.02287
17,-0.27515679597854614,-2.6595773696899414,40.91233444213867,3.0356249266069946,67.89438305664258,-88.15130975320318,-4.822701,5.470277,-6.5892224,9.238175,-24.278208,-1.0501127,-2.2139137,-8.006808,-4.7889075,10.053804,-13.059568,11.426102,-0.5381844,-1.2907262,27.067883,-84.81229,23.37964,-61.030838,80.852554,21.41403,-4.7734165,71.14433,-81.43521,-26.226568,51.218563,75.73898,-16.291525,-4.721206,-70.04218
18,-0.28950709104537964,-2.6592519283294678,40.90196990966797,3.066460593092939,67.89756441121622,-88.12332622375793,-4.818334,5.4732356,-6.5894365,9.231852,-24.284872,-1.0565844,-2.2045674,-8.004571,-4.7909875,10.04775,-13.0763645,11.433149,-0.53669375,-1.3004978,27.04698,-84.801346,23.365826,-61.01469,80.86414,21.443478,-4.7784085,71.15833,-81.402954,-26.222643,51.187782,75.71342,-16.29874,-4.7135777,-70.06642
19,-0.2995999753475189,-2.660648822784424,40.89133071899414,3.0970533131820495,67.9004349260205,-88.09660422526858,-4.813372,5.4752746,-6.5896387,9.226601,-24.293299,-1.0618005,-2.194331,-8.003402,-4.791643,10.041051,-13.0949,11.443638,-0.5346389,-1.3128496,27.026121,-84.79162,23.352352,-60.994965,80.879,21.478893,-4.786206,71.171776,-81.37118,-26.218435,51.153698,75.68662,-16.303427,-4.708595,-70.090706
20,-0.31236061453819275,-2.6599199771881104,40.882041931152344,3.123372319672319,67.90269906391133,-88.07504097934738,-4.8074856,5.477921,-6.58797,9.222733,-24.303627,-1.0667365,-2.183713,-8.002106,-4.7910786,10.034072,-13.115663,11.453475,-0.52990496,-1.3266294,27.005104,-84.782394,23.337662,-60.979187,80.895035,21.508162,-4.795347,71.18036,-81.34048,-26.2133,51.121876,75.66175,-16.314611,-4.6968036,-70.10869
21,-0.32529911398887634,-2.6594390869140625,40.86953353881836,3.145565355347252,67.9039282083165,-88.05836264545488,-4.800051,5.481378,-6.583976,9.221195,-24.316795,-1.0704523,-2.1716683,-8.000786,-4.789094,10.026804,-13.140194,11.464332,-0.5258502,-1.3372391,26.984646,-84.769455,23.331114,-60.971176,80.90238,21.518705,-4.8052945,71.18194,-81.3108,-26.210606,51.09913,75.635376,-16.334536,-4.6742015,-70.11702
